F_H2O,F_CO2,F_GPP
1.9204494548492255e-18,-0.45668028438991193,-8.103180063705422e-17
1.9464339707593116e-18,-0.45809710798053865,-9.003533404117135e-18
1.745551468969467e-18,-0.43734172626240847,0.0
1.778136021508968e-18,-0.4364156083573668,-3.601413361646854e-17
1.770979258570556e-18,-0.4352521412082308,-9.003533404117135e-18
1.5275685820905662e-18,-0.41214724191444413,-4.9519433722644244e-17
1.4874186999808822e-18,-0.4118521471918833,-3.601413361646854e-17
1.4986345452145253e-18,-0.41222783236855404,-3.1512366914409973e-17
8.155194923842354e-6,0.07442476932370021,0.5187219609143947
1.1263028196305232e-5,0.08767972793373034,0.581853780156409
1.601474226512695e-5,0.08455669010243339,0.5744722898238966
2.1080252202926445e-5,0.08046688066107768,0.4879822451303629
2.5991770266736098e-5,0.07678036755558806,0.39800103126235103
2.9536972264454923e-5,0.07413133312672333,0.34021894492569643
3.076654983212088e-5,0.07338926540644908,0.3217262968869685
2.9701085285656523e-5,0.07445035973925358,0.3356519446630904
2.6712164956570648e-5,0.07691101205962922,0.38228987421404037
2.1461979752452653e-5,0.08041835632735812,0.4694398112856275
1.8187164551233747e-5,0.08094184816421701,0.5366223858573873
1.6366220962530234e-5,0.022768228666806483,0.49941638201091404
2.681109632632921e-18,-0.501005468254446,-2.7010600212351406e-17
2.4337411544626873e-18,-0.4946829631600492,0.0
2.0979680472846656e-18,-0.47773704313645193,3.601413361646854e-17
2.0896980864505212e-18,-0.4766649798226354,3.601413361646854e-17
2.1230988569482115e-18,-0.47424811112063514,1.800706680823427e-17
2.0953670851519306e-18,-0.47267214980913846,-3.601413361646854e-17
1.807519080707522e-18,-0.44536604245217837,0.0
1.821137515767006e-18,-0.4452609187380921,0.0
1.818829799292968e-18,-0.4447933268413959,9.003533404117134e-18
1.6244557703130194e-18,-0.4156202824760593,5.402120042470281e-17
1.5798433695342157e-18,-0.40866058148435036,9.003533404117135e-18
1.5262048160008244e-18,-0.39985164641034737,-3.601413361646854e-17
8.43860880014249e-6,0.07582219982021692,0.5105657478887404
1.1374979335736855e-5,0.08820216022578624,0.5769045244164712
1.5668913401110874e-5,0.08595076575671542,0.5864701431924779
1.9894975893095378e-5,0.08280820775372381,0.534161825984785
2.3912279417102632e-5,0.07982673566474195,0.45692642699702607
2.710221913585874e-5,0.07748558041390784,0.3982948900934141
2.7654808762881664e-5,0.07692272160327125,0.38500804432827745
2.661934326115655e-5,0.07762613452129442,0.40014663520713734
2.3685895583229492e-5,0.07977791815597296,0.45379233547293685
1.926193251287056e-5,0.0827250389979101,0.5318253772739345
1.7919069429654157e-5,0.08270423642685694,0.557893546770357
1.7269394180108503e-5,0.036851158494673596,0.5191833242207865
2.8371009596715886e-18,-0.49994411419288004,2.7010600212351406e-17
2.2817665701416142e-18,-0.47875079638435414,0.0
1.882437144896441e-18,-0.43923551948281153,0.0
1.815507663433991e-18,-0.4307263610612203,-3.601413361646854e-17
1.7572612103394066e-18,-0.4216080876224878,2.7010600212351406e-17
1.7763419409003766e-18,-0.4236996554952473,0.0
1.5468472554019556e-18,-0.3809483352908367,9.003533404117135e-18
1.51424247699342e-18,-0.37763864846790113,1.3505300106175703e-17
1.5195933974022643e-18,-0.377328911536202,4.9519433722644244e-17
1.3245781561717678e-18,-0.34175442473094797,4.051590031852711e-17
1.3953349321402215e-18,-0.3521381921013815,-4.501766702058567e-18
1.3708542075665974e-18,-0.3479107315767532,-3.1512366914409973e-17
7.079296836966526e-6,0.08369334877517441,0.4486515040679293
9.359536954026128e-6,0.09066752687332544,0.5263396806989755
1.3221259491159388e-5,0.08772935885878934,0.5847013985211709
1.6955770860112002e-5,0.0848413483580456,0.5752890992623425
2.0941882903282194e-5,0.08217422643613506,0.5205493065136645
2.4185608683347655e-5,0.07985423127638064,0.46073213956404185
2.554736340972362e-5,0.07879979547176438,0.4340679611157298
2.5077332110601326e-5,0.07908136591535225,0.4410263335308819
2.2377684781327084e-5,0.08099385225495939,0.4904803722410983
1.8096992700893897e-5,0.08388840398136764,0.5599913081803918
1.685456566236938e-5,0.08326744996254307,0.576017792070919
1.3940456606932926e-5,0.03902486133468919,0.5398624707176611
2.0357190173839828e-18,-0.44170815259387997,-5.402120042470281e-17
1.9146078893538642e-18,-0.43478787438394173,-3.601413361646854e-17
1.6492456604356547e-18,-0.39803801396378763,-1.800706680823427e-17
1.6606106078060981e-18,-0.39808147635085656,1.3505300106175703e-17
1.551620286062588e-18,-0.3807645485704018,-9.003533404117135e-18
1.5866276296512074e-18,-0.3824966919857126,-2.2508833510292838e-17
1.4341552165572526e-18,-0.3566773625093595,2.2508833510292838e-17
1.407855085121903e-18,-0.35366826616343966,-4.9519433722644244e-17
1.4018944189245127e-18,-0.35359157411470227,-5.402120042470281e-17
1.169708288789728e-18,-0.31119309737523443,4.501766702058567e-18
1.209971060897398e-18,-0.31395896467836865,-3.1512366914409973e-17
1.185632539236927e-18,-0.31072583957475747,-1.800706680823427e-17
6.466873844531838e-6,0.08423208920473234,0.42853915524625796
8.1529993579203e-6,0.09182185777039094,0.49115235193144197
1.0803646825109463e-5,0.08919384668528714,0.5637784914071694
1.5124785867298016e-5,0.08592249858196752,0.5865886663069106
1.8886977356807263e-5,0.08313190585360346,0.5448208567033381
2.130755011633057e-5,0.08150575433870437,0.5059743503692177
2.2037284315439795e-5,0.08090165595467598,0.4910931029617611
2.128387133637074e-5,0.08150532463397482,0.5062633947225611
1.8760652014771354e-5,0.08328143412389483,0.5485411143760625
1.54638224078307e-5,0.08534277225668693,0.5821792199123595
1.3551797359764828e-5,0.08609905490218513,0.588090642542797
1.2606883915567552e-5,0.034533377680935555,0.5321229297647868
1.982889339737166e-18,-0.4501521565815679,0.0
1.8061544381011223e-18,-0.4311857955207671,-8.103180063705422e-17
1.5646762973048978e-18,-0.39330012774616535,-4.501766702058568e-18
1.5297422302560012e-18,-0.38758647726831863,-1.800706680823427e-17
1.4732622164792874e-18,-0.37767009270607965,-1.3505300106175703e-17
1.4739401044299972e-18,-0.37728016939894843,4.5017667020585684e-18
1.4556267419120878e-18,-0.3665650901326069,9.003533404117135e-18
1.4493828261344225e-18,-0.3686758041288287,-2.2508833510292838e-17
1.5108921069786105e-18,-0.37641059590791326,9.003533404117134e-18
1.4125288760943313e-18,-0.35498478332380967,4.501766702058568e-18
1.3612122017735418e-18,-0.35332552524560834,-4.501766702058568e-18
1.361595188361826e-18,-0.35364165834606265,-1.3505300106175703e-17
7.285734387418576e-6,0.07447116027357323,0.4578813513770382
8.15872272240029e-6,0.0915307691786514,0.5010800087211515
1.3637362408177898e-5,0.08742686070570263,0.5867349594250777
1.4610594238442493e-5,0.08662802463451472,0.5889698720322682
1.9617874812639316e-5,0.08297701745901404,0.5421897915993
2.3877683757586248e-5,0.07999833432697045,0.46943022820086816
2.5023045764666526e-5,0.07890226177833569,0.4427906730916477
2.44756478637415e-5,0.07920640595642729,0.450280319345948
2.172380968950649e-5,0.0812376860227035,0.5011272182558862
1.769132321214517e-5,0.08389880454928458,0.5614787390484447
1.684774669531817e-5,0.08337918934528925,0.5741835566290031
1.4493638129578924e-5,0.04356462192365121,0.5459182372351845
2.306422323631754e-18,-0.4709752782597814,3.601413361646854e-17
2.1023051109460828e-18,-0.4581953985318305,1.800706680823427e-17
1.964745772790771e-18,-0.4377999633073212,4.5017667020585676e-17
1.8331597280387707e-18,-0.41846653756369057,0.0
1.8061829492992474e-18,-0.41672362564088367,4.501766702058568e-18
1.8005424972550678e-18,-0.4144914291182254,-4.5017667020585676e-17
1.5279475233034995e-18,-0.3750957776574564,-9.003533404117135e-18
1.53777593227525e-18,-0.3781165772712159,1.800706680823427e-17
1.5409824078026925e-18,-0.37789491271105263,5.852296712676138e-17
1.334061254231048e-18,-0.3416416867159134,-4.501766702058567e-18
1.3097600082658795e-18,-0.34035122341832563,-6.752650053087851e-17
1.2968682010267738e-18,-0.3365023223057934,3.1512366914409973e-17
6.449514718165679e-6,0.08287801285460686,0.4343879567072609
8.941766378664248e-6,0.09097350774347467,0.518383317833832
1.2016607905356722e-5,0.08859510915638939,0.5740644353479746
1.561311922519013e-5,0.08575030870543207,0.5856396642023229
1.9439192438800312e-5,0.08298742099476586,0.542966501316064
2.278720328215613e-5,0.08051728675401519,0.4836519644993798
2.431453150504928e-5,0.07912256025684715,0.4492960745532162
2.4130920713506254e-5,0.07916067914645988,0.45035606761433244
